dv,task,measure_description,retest_reliability,type,days,sample_size,reference,overall_difference,raw_fit,rt_acc,ddm_task,mturk
bis_bas_survey.BIS,survey,,0.68,ICC,150,46,Sutton and Davidson (1997),condition,raw,,0,0
bis_bas_survey.BIS,survey,,0.81,Pearson,360,42,"Meyer, Johnson and Winters (2001)",condition,raw,,0,0
bis_bas_survey.BIS,survey,,0.7,Pearson,90,109,Li and Zinbarg (2007),condition,raw,,0,0
bis_bas_survey.BIS,survey,,0.91,ICC,7,23,Fliessbach et al. (2010),condition,raw,,0,0
bis_bas_survey.BIS,survey,,0.81,Pearson,54,201,Alloy et al. (2012),condition,raw,,0,0
bis_bas_survey.BIS,survey,,0.7,Pearson,264,201,Alloy et al. (2012),condition,raw,,0,0
bis_bas_survey.BIS,survey,,0.64,Pearson,28,70,"Amiri, Behnezhad and Azad-Marzabadi (2017)",condition,raw,,0,0
bis11_survey.Attentional,survey,,0.78,ICC,120,34,Someya et al. (2001),condition,fit,,0,0
bis11_survey.Attentional,survey,,0.63,ICC,14,32,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Attentional,survey,,0.62,ICC,14,31,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Attentional,survey,,0.58,ICC,14,34,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Attentional,survey,,0.61,Spearman,30,153,Stanford et al. (2009),condition,fit,,0,0
bis11_survey.Attentional,survey,,0.86,Pearson,9,127,Weafer et al. (2013),condition,fit,,0,0
bis11_survey.Motor,survey,,0.74,ICC,120,34,Someya et al. (2001),condition,fit,,0,0
bis11_survey.Motor,survey,,0.43,ICC,14,32,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Motor,survey,,0.25,ICC,14,31,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Motor,survey,,0.57,ICC,14,34,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Motor,survey,,0.67,Spearman,30,153,Stanford et al. (2009),condition,fit,,0,0
bis11_survey.Motor,survey,,0.88,Pearson,9,127,Weafer et al. (2013),condition,fit,,0,0
bis11_survey.Nonplanning,survey,,0.84,ICC,120,34,Someya et al. (2001),condition,fit,,0,0
bis11_survey.Nonplanning,survey,,0.72,ICC,14,32,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Nonplanning,survey,,0.73,ICC,14,31,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Nonplanning,survey,,0.77,ICC,14,34,Suris et al. (2007),condition,fit,,0,0
bis11_survey.Nonplanning,survey,,0.72,Spearman,30,153,Stanford et al. (2009),condition,fit,,0,0
bis11_survey.Nonplanning,survey,,0.85,Pearson,9,127,Weafer et al. (2013),condition,fit,,0,0
bis11_survey.total,survey,,0.71,ICC,120,34,Someya et al. (2001),condition,raw,,0,0
bis11_survey.total,survey,,0.89,Pearson,60,83,Fossati et al. (2001),condition,raw,,0,0
bis11_survey.total,survey,,0.77,ICC,14,32,Suris et al. (2007),condition,raw,,0,0
bis11_survey.total,survey,,0.78,ICC,14,31,Suris et al. (2007),condition,raw,,0,0
bis11_survey.total,survey,,0.8,ICC,14,34,Suris et al. (2007),condition,raw,,0,0
bis11_survey.total,survey,,0.83,Pearson,60,44,Gülec et al. (2008),condition,raw,,0,0
bis11_survey.total,survey,,0.83,Spearman,30,153,Stanford et al. (2009),condition,raw,,0,0
bis11_survey.total,survey,,0.92,Pearson,9,127,Weafer et al. (2013),condition,raw,,0,0
brief_self_control_survey.self_control,survey,,0.87,Pearson,21,233,Tangney et al. (2004),overall,raw,,0,0
brief_self_control_survey.self_control,survey,,0.75,Pearson,210,140,Duckworth and Seligman (2005),overall,raw,,0,0
brief_self_control_survey.self_control,survey,,0.76,Pearson,210,164,Duckworth and Seligman (2005),overall,raw,,0,0
dickman_survey.dysfunctional,survey,,0.73,Pearson,25,211,Brunas-Wagstaff et al. (1997),condition,fit,,0,0
dickman_survey.dysfunctional,survey,,0.824,Spearman,360,11,Caci et al. (2003),condition,fit,,0,0
dickman_survey.dysfunctional,survey,,0.528,Spearman,360,38,Caci et al. (2003),condition,fit,,0,0
dickman_survey.dysfunctional,survey,,0.765,Pearson,30,107,Chico et al. (2003),condition,fit,,0,0
dickman_survey.functional,survey,,0.58,Pearson,25,211,Brunas-Wagstaff et al. (1997),condition,fit,,0,0
dickman_survey.functional,survey,,0.435,Spearman,360,11,Caci et al. (2003),condition,fit,,0,0
dickman_survey.functional,survey,,0.695,Spearman,360,38,Caci et al. (2003),condition,fit,,0,0
dickman_survey.functional,survey,,0.757,Pearson,30,107,Chico et al. (2003),condition,fit,,0,0
dospert_rp_survey.ethical,survey,,0.67,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rp_survey.financial,survey,,0.42,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rp_survey.health_safety,survey,,0.62,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rp_survey.recreational,survey,,0.56,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rp_survey.social,survey,,0.47,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rt_survey.ethical,survey,,0.72,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rt_survey.ethical,survey,,0.6,Pearson,28,155,"Du, Li and Du (2014)",condition,fit,,0,0
dospert_rt_survey.financial,survey,,0.44,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rt_survey.health_safety,survey,,0.75,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rt_survey.health_safety,survey,,0.7,Pearson,28,155,"Du, Li and Du (2014)",condition,fit,,0,0
dospert_rt_survey.recreational,survey,,0.8,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rt_survey.recreational,survey,,0.81,Pearson,28,155,"Du, Li and Du (2014)",condition,fit,,0,0
dospert_rt_survey.social,survey,,0.58,Pearson,30,121,"Weber, Blais and Betz (2002)",condition,fit,,0,0
dospert_rt_survey.social,survey,,0.7,Pearson,28,155,"Du, Li and Du (2014)",condition,fit,,0,0
eating_survey.total,survey,,0.87,Pearson,14,126,Mostafavi et al. (2017),overall,raw,,0,0
erq_survey.reappraisal,survey,,0.69,Pearson,90,791,Gross and John (2003),condition,fit,,0,0
erq_survey.reappraisal,survey,,0.67,Pearson,60,182,"Balzarotti, John and Gross (2010)",condition,fit,,0,0
erq_survey.reappraisal,survey,,0.37,ICC,360,692,Gullone and Taffe (2012),condition,fit,,0,0
erq_survey.reappraisal,survey,,0.47,ICC,360,692,Gullone and Taffe (2012),condition,fit,,0,0
erq_survey.reappraisal,survey,,0.64,Pearson,90,115,Cabello et al. (2013),condition,fit,,0,0
erq_survey.reappraisal,survey,,0.74,Pearson,21,90,Eldeleklioglu and Eroglu (2015),condition,fit,,0,0
erq_survey.reappraisal,survey,,0.77,Pearson,35,150,Hasani (2017),condition,fit,,0,0
erq_survey.suppression,survey,,0.69,Pearson,90,791,Gross and John (2003),condition,fit,,0,0
erq_survey.suppression,survey,,0.71,Pearson,60,182,"Balzarotti, John and Gross (2010)",condition,fit,,0,0
erq_survey.suppression,survey,,0.4,ICC,360,692,Gullone and Taffe (2012),condition,fit,,0,0
erq_survey.suppression,survey,,0.63,ICC,360,692,Gullone and Taffe (2012),condition,fit,,0,0
erq_survey.suppression,survey,,0.66,Pearson,90,115,Cabello et al. (2013),condition,fit,,0,0
erq_survey.suppression,survey,,0.72,Pearson,21,90,Eldeleklioglu and Eroglu (2015),condition,fit,,0,0
erq_survey.suppression,survey,,0.68,Pearson,35,150,Hasani (2017),condition,fit,,0,0
five_facet_mindfulness_survey.act_with_awareness,survey,,0.657,ICC,14,30,Isenberg (2009),condition,fit,,0,0
five_facet_mindfulness_survey.act_with_awareness,survey,,0.436,Pearson,30,81,"Deng, Rodriguez and Xia (2011)",condition,fit,,0,0
five_facet_mindfulness_survey.act_with_awareness,survey,,0.72,Pearson,56,21,Heeren et al. (2011),condition,fit,,0,0
five_facet_mindfulness_survey.act_with_awareness,survey,,0.79,Pearson,600,41,Petrocchi and Ottaviani (2016),condition,fit,,0,0
five_facet_mindfulness_survey.describe,survey,,0.82,ICC,14,30,Isenberg (2009),condition,fit,,0,0
five_facet_mindfulness_survey.describe,survey,,0.699,Pearson,30,81,"Deng, Rodriguez and Xia (2011)",condition,fit,,0,0
five_facet_mindfulness_survey.describe,survey,,0.73,Pearson,56,21,Heeren et al. (2011),condition,fit,,0,0
five_facet_mindfulness_survey.describe,survey,,0.66,Pearson,600,41,Petrocchi and Ottaviani (2016),condition,fit,,0,0
five_facet_mindfulness_survey.nonjudge,survey,,0.757,ICC,14,30,Isenberg (2009),condition,fit,,0,0
five_facet_mindfulness_survey.nonjudge,survey,,0.611,Pearson,30,81,"Deng, Rodriguez and Xia (2011)",condition,fit,,0,0
five_facet_mindfulness_survey.nonjudge,survey,,0.41,Pearson,56,21,Heeren et al. (2011),condition,fit,,0,0
five_facet_mindfulness_survey.nonjudge,survey,,0.58,Pearson,600,41,Petrocchi and Ottaviani (2016),condition,fit,,0,0
five_facet_mindfulness_survey.nonreact,survey,,0.776,ICC,14,30,Isenberg (2009),condition,fit,,0,0
five_facet_mindfulness_survey.nonreact,survey,,0.512,Pearson,30,81,"Deng, Rodriguez and Xia (2011)",condition,fit,,0,0
five_facet_mindfulness_survey.nonreact,survey,,0.64,Pearson,56,21,Heeren et al. (2011),condition,fit,,0,0
five_facet_mindfulness_survey.nonreact,survey,,0.59,Pearson,600,41,Petrocchi and Ottaviani (2016),condition,fit,,0,0
five_facet_mindfulness_survey.observe,survey,,0.863,ICC,14,30,Isenberg (2009),condition,fit,,0,0
five_facet_mindfulness_survey.observe,survey,,0.741,Pearson,30,81,"Deng, Rodriguez and Xia (2011)",condition,fit,,0,0
five_facet_mindfulness_survey.observe,survey,,0.71,Pearson,56,21,Heeren et al. (2011),condition,fit,,0,0
five_facet_mindfulness_survey.observe,survey,,0.19,Pearson,600,41,Petrocchi and Ottaviani (2016),condition,fit,,0,0
five_facet_mindfulness_survey.total,survey,,0.798,ICC,14,30,Isenberg (2009),overall,raw,,0,0
five_facet_mindfulness_survey.total,survey,,0.64,Pearson,56,21,Heeren et al. (2011),overall,raw,,0,0
future_time_perspective_survey.future_time_perspective,survey,,0.76,Pearson,360,765,"Kooij, Bal and Kanfer (2014)",overall,raw,,0,0
grit_scale_survey.grit,survey,,0.68,Pearson,360,279,Duckworth and Quinn (2009),overall,raw,,0,0
grit_scale_survey.grit,survey,,0.61,Pearson,90,121,"Hill, Borrow and Bronk (2014)",overall,raw,,0,0
grit_scale_survey.grit,survey,,0.78,Pearson,28,138,Li et al. (2016),overall,raw,,0,0
impulsive_venture_survey.impulsiveness,survey,,0.76,Pearson,30,132,Luengo et al. (1991),condition,fit,,0,0
impulsive_venture_survey.venturesomeness,survey,,0.8,Pearson,30,132,Luengo et al. (1991),condition,fit,,0,0
leisure_time_activity_survey.activity_level,survey,,0.8,Spearman,28,267,Kiernan et al. (2013),overall,raw,,0,0
leisure_time_activity_survey.activity_level,survey,,0.86,Pearson,9,60,Riebl et al. (2013),overall,raw,,0,0
mindful_attention_awareness_survey.mindfulness,survey,,0.81,ICC,28,61,Brown and Ryan (2003),overall,raw,,0,0
mindful_attention_awareness_survey.mindfulness,survey,,0.73,Pearson,70,82,Barnes et al. (2007),overall,raw,,0,0
mindful_attention_awareness_survey.mindfulness,survey,,0.54,Pearson,20,70,Deng et al. (2012),overall,raw,,0,0
mindful_attention_awareness_survey.mindfulness,survey,,0.66,Pearson,56,441,Murphy et al. (2012),overall,raw,,0,0
mindful_attention_awareness_survey.mindfulness,survey,,0.94,Pearson,21,46,Matvienko-Sikar and Dockray (2017),overall,raw,,0,0
selection_optimization_compensation_survey.compensation,survey,,0.76,Pearson,30,218,Freund and Baltes (2002),condition,fit,,0,0
selection_optimization_compensation_survey.elective_selection,survey,,0.77,Pearson,30,218,Freund and Baltes (2002),condition,fit,,0,0
selection_optimization_compensation_survey.optimization,survey,,0.71,Pearson,30,218,Freund and Baltes (2002),condition,fit,,0,0
sensation_seeking_survey.boredom_susceptibility,survey,,0.82,Pearson,7,38,Zuckerman et al. (1972),condition,fit,,0,0
sensation_seeking_survey.boredom_susceptibility,survey,,0.66,Pearson,42,31,Zaleski (1984),condition,fit,,0,0
sensation_seeking_survey.boredom_susceptibility,survey,,0.66,Pearson,14,61,Thombs et al. (1994),condition,fit,,0,0
sensation_seeking_survey.boredom_susceptibility,survey,,0.52,Pearson,90,87,Euwema (2013),condition,fit,,0,0
sensation_seeking_survey.disinhibition,survey,,0.91,Pearson,7,38,Zuckerman et al. (1972),condition,fit,,0,0
sensation_seeking_survey.disinhibition,survey,,0.91,Pearson,42,31,Zaleski (1984),condition,fit,,0,0
sensation_seeking_survey.disinhibition,survey,,0.81,Pearson,14,61,Thombs et al. (1994),condition,fit,,0,0
sensation_seeking_survey.disinhibition,survey,,0.57,Pearson,90,87,Euwema (2013),condition,fit,,0,0
sensation_seeking_survey.experience_seeking,survey,,0.92,Pearson,7,38,Zuckerman et al. (1972),condition,fit,,0,0
sensation_seeking_survey.experience_seeking,survey,,0.78,Pearson,42,31,Zaleski (1984),condition,fit,,0,0
sensation_seeking_survey.experience_seeking,survey,,0.63,Pearson,14,61,Thombs et al. (1994),condition,fit,,0,0
sensation_seeking_survey.experience_seeking,survey,,0.69,Pearson,90,87,Euwema (2013),condition,fit,,0,0
sensation_seeking_survey.thrill_adventure_seeking,survey,,0.94,Pearson,7,38,Zuckerman et al. (1972),condition,fit,,0,0
sensation_seeking_survey.thrill_adventure_seeking,survey,,0.83,Pearson,42,31,Zaleski (1984),condition,fit,,0,0
sensation_seeking_survey.thrill_adventure_seeking,survey,,0.69,Pearson,14,61,Thombs et al. (1994),condition,fit,,0,0
sensation_seeking_survey.thrill_adventure_seeking,survey,,0.71,Pearson,90,87,Euwema (2013),condition,fit,,0,0
sensation_seeking_survey.total,survey,,0.89,Pearson,7,38,Zuckerman et al. (1972),overall,raw,,0,0
sensation_seeking_survey.total,survey,,0.82,Pearson,14,61,Thombs et al. (1994),overall,raw,,0,0
sensation_seeking_survey.total,survey,,0.67,Pearson,90,87,Euwema (2013),overall,raw,,0,0
ten_item_personality_survey.agreeableness,survey,,0.71,Pearson,42,180,"Gosling, Rentfrow and Swann (2003)",condition,fit,,0,0
ten_item_personality_survey.agreeableness,survey,,0.52,Pearson,42,198,Romero et al. (2012),condition,fit,,0,0
ten_item_personality_survey.agreeableness,survey,,0.61,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.agreeableness,survey,,0.69,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.conscientiousness,survey,,0.76,Pearson,42,180,"Gosling, Rentfrow and Swann (2003)",condition,fit,,0,0
ten_item_personality_survey.conscientiousness,survey,,0.69,Pearson,42,198,Romero et al. (2012),condition,fit,,0,0
ten_item_personality_survey.conscientiousness,survey,,0.77,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.conscientiousness,survey,,0.81,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.emotional_stability,survey,,0.7,Pearson,42,180,"Gosling, Rentfrow and Swann (2003)",condition,fit,,0,0
ten_item_personality_survey.emotional_stability,survey,,0.83,Pearson,42,198,Romero et al. (2012),condition,fit,,0,0
ten_item_personality_survey.emotional_stability,survey,,0.76,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.emotional_stability,survey,,0.82,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.extraversion,survey,,0.77,Pearson,42,180,"Gosling, Rentfrow and Swann (2003)",condition,fit,,0,0
ten_item_personality_survey.extraversion,survey,,0.79,Pearson,42,198,Romero et al. (2012),condition,fit,,0,0
ten_item_personality_survey.extraversion,survey,,0.81,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.extraversion,survey,,0.85,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.openness,survey,,0.62,Pearson,42,180,"Gosling, Rentfrow and Swann (2003)",condition,fit,,0,0
ten_item_personality_survey.openness,survey,,0.72,Pearson,42,198,Romero et al. (2012),condition,fit,,0,0
ten_item_personality_survey.openness,survey,,0.72,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
ten_item_personality_survey.openness,survey,,0.7,Pearson,30,31,Renau et al. (2013),condition,fit,,0,0
theories_of_willpower_survey.endorse_limited_resource,survey,,0.77,Pearson,90,41,"Job, Dweck and Walton (2010)",overall,raw,,0,0
time_perspective_survey.future,survey,,0.82,Pearson,28,278,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.future,survey,,0.78,Pearson,28,407,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.future,survey,,0.64,Pearson,14,30,"Carelli, Wiberg and Wiberg (2011)",condition,fit,,0,0
time_perspective_survey.future,survey,,0.77,Pearson,28,76,"Zhang, Howell and Bowerman (2013)",condition,fit,,0,1
time_perspective_survey.future,survey,,0.8,Pearson,30,58,Zimbardo and Boyd (2015),condition,fit,,0,0
time_perspective_survey.future,survey,,0.55,Pearson,180,51,Wang et al. (2015),condition,fit,,0,0
time_perspective_survey.past_negative,survey,,0.89,Pearson,28,278,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.past_negative,survey,,0.9,Pearson,28,407,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.past_negative,survey,,0.85,Pearson,14,30,"Carelli, Wiberg and Wiberg (2011)",condition,fit,,0,0
time_perspective_survey.past_negative,survey,,0.83,Pearson,28,76,"Zhang, Howell and Bowerman (2013)",condition,fit,,0,1
time_perspective_survey.past_negative,survey,,0.7,Pearson,30,58,Zimbardo and Boyd (2015),condition,fit,,0,0
time_perspective_survey.past_negative,survey,,0.76,Pearson,180,51,Wang et al. (2015),condition,fit,,0,0
time_perspective_survey.past_positive,survey,,0.74,Pearson,28,278,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.past_positive,survey,,0.54,Pearson,28,407,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.past_positive,survey,,0.69,Pearson,14,30,"Carelli, Wiberg and Wiberg (2011)",condition,fit,,0,0
time_perspective_survey.past_positive,survey,,0.73,Pearson,28,76,"Zhang, Howell and Bowerman (2013)",condition,fit,,0,1
time_perspective_survey.past_positive,survey,,0.76,Pearson,30,58,Zimbardo and Boyd (2015),condition,fit,,0,0
time_perspective_survey.past_positive,survey,,0.61,Pearson,180,51,Wang et al. (2015),condition,fit,,0,0
time_perspective_survey.present_fatalistic,survey,,0.69,Pearson,28,278,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.present_fatalistic,survey,,0.81,Pearson,28,407,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.present_fatalistic,survey,,0.71,Pearson,14,30,"Carelli, Wiberg and Wiberg (2011)",condition,fit,,0,0
time_perspective_survey.present_fatalistic,survey,,0.66,Pearson,28,76,"Zhang, Howell and Bowerman (2013)",condition,fit,,0,1
time_perspective_survey.present_fatalistic,survey,,0.76,Pearson,30,58,Zimbardo and Boyd (2015),condition,fit,,0,0
time_perspective_survey.present_fatalistic,survey,,0.54,Pearson,180,51,Wang et al. (2015),condition,fit,,0,0
time_perspective_survey.present_hedonistic,survey,,0.84,Pearson,28,278,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.present_hedonistic,survey,,0.73,Pearson,28,407,Kolesovs (2009),condition,fit,,0,0
time_perspective_survey.present_hedonistic,survey,,0.74,Pearson,14,30,"Carelli, Wiberg and Wiberg (2011)",condition,fit,,0,0
time_perspective_survey.present_hedonistic,survey,,0.76,Pearson,28,76,"Zhang, Howell and Bowerman (2013)",condition,fit,,0,1
time_perspective_survey.present_hedonistic,survey,,0.72,Pearson,30,58,Zimbardo and Boyd (2015),condition,fit,,0,0
time_perspective_survey.present_hedonistic,survey,,0.68,Pearson,180,51,Wang et al. (2015),condition,fit,,0,0
upps_impulsivity_survey.lack_of_perseverance,survey,,0.64,Pearson,25,65,Joiner (2007),condition,fit,,0,0
upps_impulsivity_survey.lack_of_perseverance,survey,,0.83,Pearson,9,126,Weafer et al. (2013),condition,fit,,0,0
upps_impulsivity_survey.lack_of_perseverance,survey,,0.73,ICC,21,50,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.lack_of_perseverance,survey,,0.78,ICC,21,62,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.lack_of_perseverance,survey,,0.9,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.lack_of_premeditation,survey,,0.73,Pearson,25,65,Joiner (2007),condition,fit,,0,0
upps_impulsivity_survey.lack_of_premeditation,survey,,0.81,Pearson,9,126,Weafer et al. (2013),condition,fit,,0,0
upps_impulsivity_survey.lack_of_premeditation,survey,,0.66,Pearson,360,407,Kaiser (2015),condition,fit,,0,0
upps_impulsivity_survey.lack_of_premeditation,survey,,0.74,Pearson,360,407,Kaiser (2015),condition,fit,,0,0
upps_impulsivity_survey.lack_of_premeditation,survey,,0.7,ICC,21,50,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.lack_of_premeditation,survey,,0.85,ICC,21,62,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.lack_of_premeditation,survey,,0.88,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.negative_urgency,survey,,0.73,Pearson,25,65,Joiner (2007),condition,fit,,0,0
upps_impulsivity_survey.negative_urgency,survey,,0.86,Pearson,9,126,Weafer et al. (2013),condition,fit,,0,0
upps_impulsivity_survey.negative_urgency,survey,,0.7,Pearson,360,407,Kaiser (2015),condition,fit,,0,0
upps_impulsivity_survey.negative_urgency,survey,,0.74,Pearson,360,407,Kaiser (2015),condition,fit,,0,0
upps_impulsivity_survey.negative_urgency,survey,,0.72,ICC,21,50,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.negative_urgency,survey,,0.73,ICC,21,62,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.negative_urgency,survey,,0.78,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.positive_urgency,survey,,0.85,Pearson,9,126,Weafer et al. (2013),condition,fit,,0,0
upps_impulsivity_survey.positive_urgency,survey,,0.8,ICC,21,50,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.positive_urgency,survey,,0.82,ICC,21,62,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.positive_urgency,survey,,0.85,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.sensation_seeking,survey,,0.86,Pearson,25,65,Joiner (2007),condition,fit,,0,0
upps_impulsivity_survey.sensation_seeking,survey,,0.93,Pearson,9,126,Weafer et al. (2013),condition,fit,,0,0
upps_impulsivity_survey.sensation_seeking,survey,,0.81,Pearson,360,407,Kaiser (2015),condition,fit,,0,0
upps_impulsivity_survey.sensation_seeking,survey,,0.88,Pearson,360,407,Kaiser (2015),condition,fit,,0,0
upps_impulsivity_survey.sensation_seeking,survey,,0.87,ICC,21,50,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.sensation_seeking,survey,,0.89,ICC,21,62,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0
upps_impulsivity_survey.sensation_seeking,survey,,0.91,ICC,21,42,"Hedge, Powell and Sumner (2017)",condition,fit,,0,0